Year,Method,Sex,16-24,25-34,35-49,50-59,60 and Over,Total
1974,Unweighted,Male,47,55,55,53,44,254
1974,Unweighted,Female,41,47,49,48,26,211
1976,Unweighted,Male,43,48,50,50,40,231
1976,Unweighted,Female,40,43,45,46,24,198
1978,Unweighted,Male,40,48,48,48,38,222
1978,Unweighted,Female,38,42,43,42,24,189
1980,Unweighted,Male,38,47,45,47,36,213
1980,Unweighted,Female,36,44,43,44,24,191
1982,Unweighted,Male,36,40,40,42,33,191
1982,Unweighted,Female,35,37,38,40,23,173
1984,Unweighted,Male,35,40,39,39,30,183
1984,Unweighted,Female,34,36,36,39,23,168
1986,Unweighted,Male,36,37,37,35,29,174
1986,Unweighted,Female,35,35,34,35,22,161
1988,Unweighted,Male,33,37,37,32,26,165
1988,Unweighted,Female,33,35,35,34,21,158
1990,Unweighted,Male,33,36,34,28,24,155
1990,Unweighted,Female,36,34,33,29,20,152
1992,Unweighted,Male,35,34,32,28,21,150
1992,Unweighted,Female,32,34,30,29,19,144
1994,Unweighted,Male,35,34,31,27,18,145
1994,Unweighted,Female,34,30,28,26,17,135
1996,Unweighted,Male,35,38,30,28,18,149
1996,Unweighted,Female,34,34,30,26,19,143
1998,Unweighted,Male,36,37,32,27,16,148
1998,Unweighted,Female,35,33,28,27,16,139
2000,Weighted,Male,33,39,31,27,16,146
2000,Weighted,Female,32,32,27,28,15,134
2001,Weighted,Male,33,38,31,26,16,144
2001,Weighted,Female,33,31,28,25,17,134
2002,Weighted,Male,31,36,29,27,17,140
2002,Weighted,Female,34,33,27,24,14,132
2003,Weighted,Male,33,38,32,26,16,145
2003,Weighted,Female,30,31,28,23,14,126
2004,Weighted,Male,30,35,31,26,15,137
2004,Weighted,Female,28,28,28,23,14,121
2005,Weighted,Male,29,34,29,25,14,131
2005,Weighted,Female,28,29,26,23,13,119
2006,Weighted,Male,26,33,26,23,13,121
2006,Weighted,Female,25,26,25,22,12,110
2007,Weighted,Male,27,29,25,22,13,116
2007,Weighted,Female,25,23,23,21,12,104
2008,Weighted,Male,24,30,25,23,13,115
2008,Weighted,Female,29,25,23,20,12,109
2009,Weighted,Male,24,27,26,22,15,114
2009,Weighted,Female,26,24,23,20,13,106
2010,Weighted,Male,22,28,25,20,13,108
2010,Weighted,Female,24,25,23,20,13,105
2011,Weighted,Male,24,26,25,20,14,109
2011,Weighted,Female,24,21,23,18,12,98
2012,Weighted,Male,22,32,25,22,13,114
2012,Weighted,Female,23,23,21,19,12,98
2013,Weighted,Male,26,30,24,20,12,112
2013,Weighted,Female,20,20,20,19,10,89
2014,Weighted,Male,25,26,22,20,12,105
2014,Weighted,Female,21,22,20,18,11,92
